task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,seed,model_type,coupling_level,train_time_seconds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,1,OVA,decoupled_outputs,2.733870506286621,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.9811507936507936,0.9811507936507936,0.9811507936507936,0.0188492063492063,0.9811507936507936,0.0188492063492063
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,2,multi-output,coupled_outputs,1.3178153038024902,0.9824561403508772,0.9761904761904762,0.9864864864864864,0.9761904761904762,0.9809555629802872,0.9761904761904762,0.0238095238095238,0.9761904761904762,0.0238095238095238
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,2,OVA,decoupled_outputs,2.20638370513916,0.9824561403508772,0.9761904761904762,0.9864864864864864,0.9761904761904762,0.9809555629802872,0.9761904761904762,0.0238095238095238,0.9761904761904762,0.0238095238095238
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,3,multi-output,coupled_outputs,0.9752278327941896,0.9912280701754386,0.988095238095238,0.9931506849315068,0.988095238095238,0.9905276277523888,0.988095238095238,0.0119047619047619,0.988095238095238,0.0119047619047619
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,3,OVA,decoupled_outputs,2.287990093231201,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.9811507936507936,0.9811507936507936,0.9811507936507936,0.0188492063492063,0.9811507936507936,0.0188492063492063
classification,digits,,10,"[32, 16]",False,32,50,0.001,1,multi-output,coupled_outputs,3.582211494445801,0.9638888888888888,0.9636379236379236,0.9644633594633596,0.9636379236379236,0.9635597984348626,0.9636379236379236,0.0040104522240745,0.9959895477759254,0.0363620763620763
classification,digits,,10,"[32, 16]",False,32,50,0.001,1,OVA,decoupled_outputs,34.26825571060181,0.9861111111111112,0.9861818961818962,0.9862569712569714,0.9861818961818962,0.9860692618419804,0.9861818961818962,0.0015422602089268,0.998457739791073,0.0138181038181038
classification,digits,,10,"[32, 16]",False,32,50,0.001,2,multi-output,coupled_outputs,2.901875257492065,0.9722222222222222,0.9719798369798368,0.972935697935698,0.9719798369798368,0.9719012480308116,0.9719798369798368,0.003086431513676,0.9969135684863236,0.028020163020163
classification,digits,,10,"[32, 16]",False,32,50,0.001,2,OVA,decoupled_outputs,31.278136014938354,0.9805555555555556,0.9804761904761904,0.9810227783911994,0.9804761904761904,0.980377088017208,0.9804761904761904,0.0021605055877501,0.9978394944122496,0.0195238095238095
classification,digits,,10,"[32, 16]",False,32,50,0.001,3,multi-output,coupled_outputs,3.7161343097686768,0.9722222222222222,0.972059202059202,0.9732596295986388,0.972059202059202,0.9720971127552056,0.972059202059202,0.0030883367292036,0.9969116632707964,0.0279407979407979
classification,digits,,10,"[32, 16]",False,32,50,0.001,3,OVA,decoupled_outputs,37.06822490692139,0.9861111111111112,0.986031746031746,0.9863320463320464,0.986031746031746,0.9860676067522866,0.986031746031746,0.0015432098765432,0.9984567901234568,0.0139682539682539
