task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,seed,model_type,coupling_level,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,stopped_early,models_stopped_early,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,8,multi-output,coupled_outputs,156.0690040588379,0.18507392605145773,50.0,50,False,0,0.892,0.9053473830477072,0.8856879268796966,0.9053473830477072,0.893340693365819,0.9053473830477072,0.036312113323198336,0.9636878866768017,0.09465261695229273
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,8,OVA,decoupled_outputs,544.6599011421204,0.10611296041930715,43.0,172,True,2,0.916,0.925971257269312,0.9061914855875782,0.925971257269312,0.913137351174161,0.925971257269312,0.027683183777212867,0.9723168162227871,0.07402874273068807
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,9,multi-output,coupled_outputs,156.68233704566956,0.24416462850570678,50.0,50,False,0,0.905,0.9171352477999074,0.8959229197787919,0.9171352477999074,0.9026906212031318,0.9171352477999074,0.03144140417458669,0.9685585958254133,0.08286475220009262
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,9,OVA,decoupled_outputs,598.0548484325409,0.11253104143038702,47.25,189,True,2,0.933,0.9408636971849107,0.929730880638199,0.9408636971849107,0.9343952608775217,0.9408636971849107,0.022728972550466287,0.9772710274495336,0.05913630281508929
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,10,multi-output,coupled_outputs,144.38420271873474,0.19925141608715058,46.0,46,True,1,0.9,0.9110982083121962,0.8977485064538635,0.9110982083121962,0.9028377799207115,0.9110982083121962,0.03408391369318472,0.9659160863068154,0.08890179168780372
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,10,OVA,decoupled_outputs,591.8046021461487,0.09663690408885789,46.75,187,True,2,0.901,0.9127128042818178,0.8922472060053956,0.9127128042818178,0.8984167625606764,0.9127128042818178,0.0328019565755363,0.9671980434244637,0.08728719571818229
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,11,multi-output,coupled_outputs,141.11986565589905,0.22770928611358007,45.0,45,True,1,0.888,0.901590113735783,0.8785315443227293,0.901590113735783,0.8866955529903378,0.901590113735783,0.03732695374497696,0.962673046255023,0.09840988626421697
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,11,OVA,decoupled_outputs,578.7856183052063,0.09961349229188636,45.75,183,True,4,0.883,0.8979905820595955,0.8715703029907493,0.8979905820595955,0.8769559921959016,0.8979905820595955,0.037892361278399955,0.9621076387216,0.1020094179404045
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,12,multi-output,coupled_outputs,156.5015366077423,0.24650418037176133,50.0,50,False,0,0.912,0.9211201173382739,0.914804767789128,0.9211201173382739,0.9159095347177075,0.9211201173382739,0.030245516467155974,0.9697544835328441,0.0788798826617261
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,12,OVA,decoupled_outputs,505.36194682121277,0.12172172465299567,40.0,160,True,3,0.895,0.906774612732232,0.8902187325622639,0.906774612732232,0.8943534941110795,0.906774612732232,0.03528901185205442,0.9647109881479456,0.093225387267768
