task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,seed,model_type,coupling_level,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,stopped_early,models_stopped_early,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,6,multi-output,coupled_outputs,0.5032780170440674,0.3514906167984009,50.0,50,False,0,0.8666666666666667,0.8666666666666667,0.875,0.8666666666666667,0.8653198653198654,0.8666666666666667,0.06666666666666667,0.9333333333333332,0.13333333333333333
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,6,OVA,decoupled_outputs,1.6227805614471436,0.21682524867355824,50.0,150,False,0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.06666666666666667,0.9333333333333332,0.13333333333333333
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,7,multi-output,coupled_outputs,0.3916010856628418,0.2862887382507324,50.0,50,False,0,0.9333333333333333,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.9333333333333332,0.03333333333333333,0.9666666666666667,0.06666666666666667
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,7,OVA,decoupled_outputs,1.2853739261627197,0.18835420658191046,50.0,150,False,0,0.9333333333333333,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.9333333333333332,0.03333333333333333,0.9666666666666667,0.06666666666666667
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,8,multi-output,coupled_outputs,0.39208555221557617,0.19653907418251038,50.0,50,False,0,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8222222222222223,0.8333333333333334,0.08333333333333333,0.9166666666666666,0.16666666666666666
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,8,OVA,decoupled_outputs,1.4212205410003662,0.12884022295475006,50.0,150,False,0,0.8666666666666667,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.8611111111111112,0.8666666666666667,0.06666666666666667,0.9333333333333332,0.13333333333333333
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,9,multi-output,coupled_outputs,0.5034348964691162,0.2668974995613098,50.0,50,False,0,0.8,0.7999999999999999,0.875,0.7999999999999999,0.7802197802197802,0.7999999999999999,0.09999999999999999,0.9,0.19999999999999998
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,9,OVA,decoupled_outputs,1.6327335834503174,0.1747972077379624,50.0,150,False,0,0.8666666666666667,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.8611111111111112,0.8666666666666667,0.06666666666666667,0.9333333333333332,0.13333333333333333
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,10,multi-output,coupled_outputs,0.4997544288635254,0.1632719486951828,50.0,50,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,10,OVA,decoupled_outputs,1.627779483795166,0.12522259540855885,50.0,150,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
